Username,Review,Stars
alasroban,"Adalah institusi pendidikan setingkat universitas swasta yang didirikan ormas NU. Adalah bagian kontribusi luar biasa ormas NU. Untuk ikut andil dalam menjalanken amanat UUD 45. Memajukan pendidikan Indonesia, mencerdaskan kehidupan …",5
M Muslimin,Kampus keren dan moderen. Jos gandos💚🤲 …,5
Farikhul Muafiq,"Alhamdulillah hadirnya ITS NU banyak mencerahkan masyarakat Pekalongan dan sekitarnya pada umumnya, khususnya bagi warga nadhiyin dimana banyak ditawarkan jurusan sesuai kemajuan teknologi juga banyak ditanamkan pendidikan agama untuk memperkuat iman dan taqwa disamping teknologi.",5
mas harjo,Semoga semakin besar,4
Mukhtarom,"Semoga jd kampus swasta yang maju, bermanfaat untuk umat",4
Abdul Razak Naufal,"Kampus ini tidak hanya mengajarkan ilmu-ilmu science, tetapi juga mengajarkan Spirituality, Compassion (kasih sayang) and Mercy. Salah satu modal paling besar agar anak-anak kita sukses ialah menanamkan cinta dan kepedulian kepada orang lain yg lambat laun perlahan mulai menghilang digantikan oleh gadget.. :)",5
Batik Nuri,"Ikut senang melihat kemajuan pendidikan kab pekalongan , semoga bisa mencetak generasi mendatang yg lbh baik yg solih",5
dina auliyah,Satpamnya bentak2 ngga jelas padahal cuman nanya ruang pendaftaran doang,2
Alex Surya,"Amazing.... Semoga keberadaan ITS dapat meningkatkan SDM generasi muda NU yg berwawasan ASWAJA..., Semoga kedepanya jauh lebih hebat, maju dan bertambah besar... Aamiin....",5
Wahyu Nur Syahidin,"Halaman parkir luas, bersih namun karena  tidak ada pepohonan ketika siang benar2 terasa panas perlu ditanami beberapa pohon untuk berteduh.",4
M Rusdy,"tempat parkir sudah luas , nambah gedung lagi dibelakang , sekuriti sopan2 . 👍 …",5
Fajria Asri Nugraheni,"Alhamdulillaaah senang bisa kuliah di ITS NU Pekalongan. Masih wilayah sendiri tapi teknologi nya tak kalah saing dengan ITSNU yg lain. Untuk masukan saya selaku masih Mahasiswa, boleh dong fasilitas ITSNU  di tambah kaca cermin untuk bercermin 😁 …",5
AGIL ZULMI_017,"Semoga kedepannya kampus Itsnu pekalongan mencetak kader kader yg berkualitas dan menjujung tinggi nama Almamater campus technopreneur dan santri hightech

@Ms_Agiel15",5
Ahmad Hadziq Hasani,"Kampus yang keren.. lokasi strategis, bersih dan nyaman. Parkiran luas, kelas full AC, Dosen dan Karyawannya juga ramah2",5
TF050_Muh Fiqi Maulana,"Untuk kampus baru termasuk bagus fasilitasnya,  gedung bersih dan berAC",5
Didik Saepuden,Mantap keren dan bersih teratur,5
M. Rudi Fanani,Semoga berkah dan memberi manfaat,5
TF007_Chofifah Nurunnisa',Alhamdulillah . Dengan senang hati saya kuliah di ITS NU yg saya cintai supaya kedepannya lebih baik dan maju,5
0075 M.Mustaqim,Kampus yang nyaman,5
Iwan Muhammad,Kampus baru yang keren,5
Human On The Earth,"Jurusannya keren-kereeennnn, mendukung banget buat era revolusi industri 4.0 ini",5
kholiqur rofi,"Untuk info""nya kurang jelas. Tolong agar diperbaiki lagi komunikasinya biar semuanya jelas.",3
Zigi Arizuna,bagus,5
Ismail Saleh,Bagus.. lur..,5
Mutiara Sofiane,Kampus nya bersih banget. Nyaman.Tabarokallah,5
Havana ID,"Mantappss, tinggal kasih pohon yang Gedhe, biar hijaunya alami ..",5
Anggita Aninditya JapanMuslimTV,Semoga bisa melahirkan santri-santri High Tech.,5
MUHAMMAD ATHOILLAH,Sangat repot untuk parkir karena selalu penuh ..,4
Slamet Yulianto,Sangat baik sekali,5
Fahri Falaq,Suasana nya menyenangkan..,5
Jefri Irfej,Satpam tidak ramah bintang 1,1
Toha,Kampusnya nyaman,5
Muhamad Irfanudin,Pemilihan Presiden & Wakil Presiden BEM ITS NU PEKALONGA,5
Luklu Atul,tempat menimba ilmu 🌹 …,5
ike janu aryadiningrum,Kampus elegan,5
Prasetio 1234,Gedungnya keren,5
Muhammad Muhtaruddin,Sangat Luar Biasa...👍👍👍 …,5
JAYA,"Nyaman,luas, dan lengkap",4
dian arif rachman,Kampus dan suasananya nyaman,5
"UNTUNG WIDODO S,Pd M.A.P",Gedung nya 👍 …,5
Deviy,NU semakin jaya,5
AlMohTV,Bagus dan bersih,5
Kamsidin Aziz,sukses selalu,5
Ari Suyanto,Keren kampus technopreneurship,5
0006_M. Lutfi Dwi Putra,Alhamdulillah...,5
FST ITSNU Pekalongan,Bagus,5
TheDevilKingS,Mantul,5
ngazis masturi,Kampus baru,5
Bagas SW,#SantriHighTech,5
Nizar Azis Musafa,Bagus,4
Muhammad Haris An-Nashr,"Tiga gazebo, banyak tempat parkir. Banyak potensi pengembangan. 10/10 akan berinvestasi.",5
Fahrudin,"nyaman, bersih",5
Khikmah Khasanah,NU hebat 👍 …,5
Hakim Synyster,Bagus,5
Galih Pambudi,Tempat yang bagus,5
Arif Iman Anshori,No review text,5
kholifah fah,No review text,5
Arif Iman,No review text,5
Gilar Kusuma,No review text,5
Jaka satria,No review text,5
Cavin Shovie khrisna Murti,No review text,5
Kakak NotNot,No review text,5
khafidoh elkhani93,No review text,5
Alvaril Prayogi,No review text,5
0085_Salwa Salsabila,No review text,5
0073 Muhammad Irfanudin,No review text,5
Muhammad Haidar,No review text,5
Nur Fathul Jannah,No review text,5
dujieng gunawan,No review text,5
Thoriq Thoriq,No review text,5
muripah azam,No review text,5
Agung Saputra,No review text,5
Suyitno Bojong,No review text,5
Jauza Sulistiono,No review text,3
Bagus Vendi Vannessa,No review text,4
0029 - Muh. Alfani Khasan (Alfan),No review text,5
0077 - Ummi Rohmadiyatun,No review text,5
Maulia Rahayu,No review text,5
Syarof,No review text,5
Wafik Fahmi,No review text,1
21.0010_ Sofyan hadi,No review text,2
Alfi Risqiani,No review text,4
Asyarotun 10,No review text,2
M Sholahuddin,No review text,5
Nidaaa,No review text,5
Ica Tri Feika Sari,No review text,5
0010_Eka Falasifah,No review text,4
Ithlaula Sadina,No review text,5
Dara putri,No review text,5
K,No review text,5
Achil Gaming,No review text,4
20_M Khoiri,No review text,5
sirojul baru,No review text,5
Nur Khikmawati,No review text,5
Rudy Hermawan,No review text,3
Syarofah Haniwati,No review text,5
Anonymous H4ck,No review text,5
Ahmad Khudhori,No review text,5
Arjun Najah,No review text,5
Nur Rohman,No review text,5
Wafiqoh Saadah,No review text,5
Irkham Auliya,No review text,5
Risal Ngizudin,No review text,5
Alfan maulana,No review text,5
24_Dimasyqi Al Bakhri,No review text,5
0083 Dwinda Elingga Giusty,No review text,5
Sofa Khoiru Masrukhan,No review text,5
Slamet Budiyono,No review text,5
M Arief Batik Tuntang Sari (Arief),No review text,5
Riv'an,No review text,5
Danil muadzhim,No review text,5
Yahya Anam,No review text,3
Wanto Wanto,No review text,1
008_Ahmad Afif Yasin,No review text,5
007_Munazilatul Izah,No review text,5
Bagus Rahutomo,No review text,5
Ilham Setyawan,No review text,5
Sahal Mahfudz,No review text,1
Muhammad Nuskan Abdi,No review text,5
reza dewantara,No review text,1
Fatkhur Rohman,No review text,2
Adam Fama,No review text,5
Afifi Salafudin,No review text,5
Faida Annaila,No review text,1
hasan abdillah,No review text,4
Sulistyaningsih,No review text,5
B88_Agus Nurkolis,No review text,5
Betta Fatih,No review text,5
Fidya Anisa,No review text,5
M.Istifaul Amin,No review text,5
Tohid Nurjati,No review text,4
LPPM ITS NU PKL,No review text,5
moh cipto,No review text,5
Aria Mulyapradana,No review text,5
TF028-Fina Faidah,No review text,5
TF070_Herdy Yansyah,No review text,5
failaturrizqi mipa4smandung,No review text,5
khaerul amri,No review text,1
topx hidayat (TOPX ADVERTISING),No review text,5
Luky Rahma Maulidia,No review text,5
Desilia Nurvianti,No review text,5
MS Collection,No review text,5
0035 M.RIZQON AFANDI,No review text,5
Ropii Muh,No review text,5
TF045 Wahyu Setio Aji,No review text,5
Solekhah A,No review text,5
SATRIA BAGJA BINANGKIT,No review text,1
Slamet Mbois,No review text,4
Maariful Khaq,No review text,5
Miftak hudin,No review text,5
