Username,Review,Stars
Lanna,"Daftar PT otomotif di BKK ini
pas bulan puasa dari jam 7 pagi sampai jam 3 sore peserta ada 200 orang yang keterima cuman 24 orang parah banget dah",1
Rudy Hermawan,"Sebagai Alumni sekolah ini, banyak pengalaman suka dan duka. Semoga tambah maju sistem pendidikan nya, kualitas muridnya, serta terus mengeluarkan lulusan yang terbaik setiap tahunnya. Untuk para pengajarnya juga semoga semakin kompeten dalam mengajar anak didik di sekolah tercinta ini.",4
Faqihul Aslam,"Salah satu sekolah kejuruan
favorit yang mencetak lulusan berkualitas
Sekarang masjidnya bagus dan dibuat jalur hijau. …",5
Harry_ Khenjzi,"Muter-muter nyari nih SMK ketemu jua..
Wow jua si sekolahnya😂😂😂 …",3
Berthin Anggraeni,"Sekolahnya sangat bagus, luas dan bersih
Fasilitasnya sangat bagus dan lengkap
Kegiatan ekstra terkoordinir dengan baik …",5
zugex yanto,𝘒𝘦𝘯𝘢𝘱𝘢 𝘺𝘢  𝘫𝘢𝘥𝘸𝘢𝘭 𝘱𝘶𝘭𝘢𝘯𝘨 𝘢𝘯𝘢𝘬 𝘴𝘦𝘬𝘰𝘭𝘢𝘩 𝘴𝘦𝘬𝘢𝘳𝘢𝘯𝘨 𝘩𝘢𝘣𝘪𝘴 𝘮𝘢𝘨𝘩𝘳𝘪𝘣 𝘵𝘦𝘳𝘰𝘴 ....?  𝘱𝘦𝘭𝘢𝘫𝘢𝘳𝘢𝘯 𝘢𝘱𝘢 𝘭𝘢𝘨𝘪   𝘺𝘨 𝘨𝘶𝘳𝘶 𝘢𝘫𝘢𝘳𝘬𝘢𝘯...?  𝘱𝘢𝘥𝘢𝘩𝘢𝘭 𝘣𝘦𝘴𝘰𝘬 𝘫𝘶𝘨𝘢 𝘣𝘦𝘳𝘢𝘯𝘨𝘬𝘢𝘵 𝘴𝘦𝘬𝘰𝘭𝘢𝘩 𝘭𝘢𝘨𝘪   𝘬𝘢𝘮𝘪 𝘴𝘦𝘣𝘢𝘨𝘢𝘪 𝘰𝘳𝘢𝘯𝘨 𝘵𝘶𝘢 𝘮𝘦𝘳𝘢𝘴𝘢 𝘸𝘢𝘴 𝘸𝘢𝘴  𝘫𝘢𝘯𝘨𝘢𝘯 𝘫𝘢𝘯𝘨𝘢𝘯 𝘬𝘯𝘢𝘱𝘢 𝘯𝘢𝘱𝘢 𝘥𝘪 𝘫𝘢𝘭𝘢𝘯   𝘵𝘰𝘭𝘰𝘯𝘨 𝘣𝘦𝘳𝘪   𝘢𝘭𝘢𝘴𝘢𝘯 𝘯𝘺𝘢 𝘥𝘰 𝘱𝘢𝘬 𝘨𝘶𝘳𝘶/ 𝘣𝘶 𝘨𝘶𝘳𝘶 🙏🙏🙏 …,1
Batik Hany,"SMK 1 Kedungwuni merupakan sekolah kejuruan yang favorit di kabupaten Pekalongan. Para siswa yang ingin diterima untuk masuk di sekolahan ini harus memiliki nilai tinggi. Selain itu, harus bisa melewati tes secara lisan dengan baik sehingga siap dan mampu menjadi siswa yang cerdas dan ahli dalam bidang yang dipilih.",5
Aku Dedelia,"Gurunya kurang sopan.. masa pernah kesini dikira mau minta sumbangan. udah gitu dilempar sana, lempar sini pada bilang saya lagi sibuknya bapak aja, terus ibu aja. padahal cuma mau nempel poster lomba aja.  penataan tempat acak2an.. termasuk smk favorit sih",3
Mas Umam,Sebagai mantan alumni smk n 1 kedungwuni saya bangga dengan sekolah smk n 1 terus berinovasi dan berkembang dalam belajar mengajar dan pendidikannya,4
TRUCK_ CHANNEL,Tempat bersih luas,5
hasby rizqi,"Adem luarnya, dalemnya sih ngga tau ya soalnya belum pernah masuk.. ajak masuk dong pa guru",5
Tyan Saputra,Sekolah dengan lulusan teknik otomotif terbaik,5
18. PUTRI DIT KARIN SETIA,Menyenangkan,5
Hartono Hartono,Hebat....👍 salut mampu melaksanakan sertifikasi berbasis kompetensi BNSP maju terus...pertahankan mutu lulusan. !!! …,5
M. Khakim Maulana,"Tempat nyaman, asri ,",5
Lise Tiyo,Sekarang lingkunganya sdh rame banget..beda jauh dengan waktu aku sekolah disitu 25 thn yg lalu,5
TIM MALAKA PRO,"Anak""nya berprestasi dan juga berakhlak baik",5
Taiyou Yui-lover,"Semuanya bagus sih kecuali toiletnya, gak terurus hanya beberapa saja yg layak",3
Masiwan,SMK favorit di Pekalongan... Bagus dan berprestasi dg lulusan yg berkualitas dan siap kerja..,5
Purwo Adi Nugroho,"Salah satu Lokasi tes P3K 2021. Nyaman, kondusif, dan mudah diakses.",5
Eka Sismadi,Ada sodara yg sekolah disini. Tp kesian.  Buat dia spp dan uang gedung nya terlalu mahal.,5
Anggi Alamsyah,Aula SMK N 1 Kedungwuni Pekalongan,5
Bambang Alisanto,Pendidikan vokasi yg sudah mendarahdaging di wilayah Kedungwuni khususnya.,5
Nur Baiti,Eum dari luar nya err udah bagus apalagi klo diliat dari dalem nya,4
Auto Error,Sekolah kejuruan terbaik dan menghasilkan lulusan yang berkualitas,5
Wyusaa,Luar provinsi bisa daftar bkknya ga ya?,3
imam sujarwanto,Sekolah Vokasi tingkat menengah negeri termegah.,5
Afika riskiana,Sekolahnya bagus,5
David Adi Nugroho,Tempat pelaksanaan LKS Jateng 2015 mata lomba wall and floor,5
susila gilang,SMK Negeri 1 Kedungwuni adalah sekolah yang bermutu,5
Muhammad Fathurohim,Wow... Sekolahku dulu 1994/1997 🤭 tua banget …,5
Sardjana Jons,Tempatnya besar peralatanya untuk siswa nya komplet,4
Saheru,Salah satu sekolah kejuruan favorit di kab pekalongan,4
sodikin xprau,"Kangen sekolahanku dulu...
25th sudah berlalu...",5
Prasetio 1234,SMK Teknik negeri Favorit di Pekalongan dan sekitar.,5
Fadli Abdulaziz,Kangen sekolahan inu kususnya jurusan t.pem,5
Hafid Alfan,"Sekolah dg fasilitas terlengkap,nyaman,dan bersih",5
Hadi_sas,Sekolah kejuruan negeri pertama di kabupaten Pekalongan,5
L L (L. L.),Saya lulusan 2016 di Skensa... Hehe,5
Saidani Ahmad,SMK 1 Kedungwuni tempat belajar Ananda Alfian,5
Ismail Saleh,Mantep.. sekolah luas.. rapi,5
ditafia adiniannda,Tempat sekolah yang dekat dengan lapangan gemek,5
Ms Thohirin,Pendidikan Menengah Teknologi Rekayasa,5
Muhammad Lutfi Maulana,SMK bisa,5
Betty Noor,pernah sekolh disini angkatan 98,5
Tutut Pratama,Sangat mngasikn nyaman sejuk,5
Fatah Hidayatulloh,Tempat pendidikan anak terbaik di pekalongan,5
186 Bela Fitriani,Mudah2an w bisa sekolah diSmk Kedungwuni...,4
Yesun,Pernah ke tempat ini mengantarkan sodara,5
Ari Saptarini,Aulanya masih perlu perbaikan.,3
Asti Dian Arini,TKR Otomtif Juara keren,5
munarno ps,Sangat berkesan.,5
Chairul Anwar,Kangen :D,5
Adys Freksis,SMA favorit didaerah kedungwuni,4
30. SATRIA ARDIANSYAH,Sekolah terbaik,5
Muhammad Said,Sekolah favorit dan nyaman,5
Fendi Minal Surachman,SMK yang bgus dan berkualitas,5
Fatkhur Rohman,sekolah terbaik di pekalongan,5
Feri Adianto,Sekolah Teknik pertama di Pekalongan,5
Yohan Effata,Sebagai Sekolah Unggulan,5
Siti Yulita,Letak strategis...,5
Kusumo Ardi,"Tempatnya sejuk,nyaman",4
khusnur rijal,Smk favorit di kab pekalongan,4
eryati 123,👍👍👍👍👍👍 …,5
Bachtiar,Sangat bagus,5
agus handoko,Mantab sarana prasarana nya,5
ADITYA HERMAWAN,Sekolah menengah kejuruan,5
Misbakhul Munir,Keren...,5
M. Alfian Syahrezi,Indahnya pemandangan,3
State indonesia,Aduh salah tempat,1
Piring Keramik,Bagus,5
Yoga Si Surya,Luas,5
Adie Oragnah,Bulanane piro,5
Taryo,Sekolah kejurusan negri,5
Umi Rozana,"Keren,..",5
ringgo afkar,bagus,4
Yudi Disto,Bagus,4
Endang Wardhiyanto,"Luar biasa, SMK Kedungwuni melonjak.
Hijau sejuk. Adem di hati. Semoga sukses Prinsip saya, Pak. Ibnu Nafis",5
Rizqi Ramadhani,"Saya ingin mendaftar di smk 1 kedungwani
Dari Mts Wonoyoso mohon tidak diterima",5
nabila shyfa,Saya ingin mendaftar di SMK 1 Kedungwuni karena takut tidak diterima,5
kuat print,Kuat Cetak kajajang gg 7,5
Muhammad Viky Prayudi,Sekolah terbesar di Kota Pekalongan,5
Eko Nugroho R,"Komunitas ""COMNAS-REWELD"" anak tukang las LAS-Republik",5
hamada kurniawan,Daftar sekolah terbaik di Pekalongan,4
Anak Bapak,No review text,5
raihan muflih,SMK di Kedungwuni,5
The Fadhlis,Joss Gandos,5
Muhammad Afif Rahman,Sugoi desu neee,5
Andika Rosyeeda,Wah,5
Abdi Munib,Oke,5
Novangga Pradhana Fidiananda,Bagus,5
debb,Sekolah Hebat,5
Faqih Sarosa,SMA 1 kedungwuni,5
Arief Wahyudi Kasino,No review text,5
Tidak punyanama (Gausahkepo),No review text,5
Chelsika Putri salsabila,No review text,5
rizqii awall,No review text,1
Arlott Tiktok,No review text,4
Ghina Akyla,No review text,5
Muhammad Murdikahfi,No review text,5
Zia Ghozi Fatahillah,No review text,5
Ratri Diantari,No review text,4
Stephany Fatkhun Rizkiani,No review text,5
Ayu Oviona,No review text,5
Reza Coeg,No review text,5
Ari Budianto,No review text,5
Ananda,No review text,5
04. Muhamad Ariq Tamam,No review text,5
13_azigna nurul aini,No review text,5
Neon Killer,No review text,5
Cahyono Yono,No review text,4
Moh Taufiq,No review text,5
rukimin guntur,No review text,5
Mukhbit Fadlurrohman,No review text,5
29 - Guitharrevadhitya Rinindra Dhitya,No review text,3
Rusmanto 24,No review text,3
Wisnu Arifin,No review text,5
Ilma Ramadhani,No review text,5
Rahma Martina Fitri,No review text,5
Kholilatul Fitriana,No review text,5
ADZRA RESTU PRATAMA,No review text,5
chamdan kurni,No review text,5
Afrin Kurniawan,No review text,5
random video,No review text,4
Dany Faisal,No review text,1
Anam Khoerul,No review text,5
03. M. Kevin B. Ardiansyah,No review text,5
Dewi Masitoh,No review text,5
Prasetyo Cah Elek,No review text,1
Khaerul Firdaus,No review text,5
Miftahul Hawaji,No review text,5
Rahmat Santoso,No review text,5
Ryan Adi Putro,No review text,5
Muhamad Khatami,No review text,1
Adinda Putrii,No review text,5
Yohanes Baslu,No review text,5
29. Kharismaul Khusna X DPIB 1,No review text,5
Edo Septiyano,No review text,5
Cryptoers,No review text,5
tri kisbianto,No review text,5
Wulan Septriasa,No review text,3
08_Amaliyah Nila Nafilah,No review text,5
mas Dewo,No review text,5
Fahmi Abdillah,No review text,5
Tina Auliani,No review text,5
Pria Idaman,No review text,5
35. Winda Amelia X TKRO 2,No review text,5
Asrofi,No review text,5
fhmz faza,No review text,5
Ashrofil Anam,No review text,5
YANUAR AFENDI,No review text,5
Much Nasih Amin,No review text,5
rifan ardiningtomo,No review text,5
Wandi andi,No review text,5
riyan reski amin,No review text,5
Esa Saputra,No review text,4
Widda Mayyala Shofie,No review text,5
15. M.Muamar Kadafi,No review text,5
Riyan Irfandi,No review text,5
Batik Kuntul Bali,No review text,5
Fr 99,No review text,5
Tris manto Gentong,No review text,5
BANG MOLEN,No review text,4
Ria Putri,No review text,5
Muhammad Afif,No review text,5
Muhammad Sukma wijaya,No review text,5
Fara Putri Amalia,No review text,5
Nova Indriyani,No review text,5
Mahasinil Ahlak,No review text,5
Kholifatul Munawaroh (Atung),No review text,4
13 Dava Aghnansyah,No review text,5
Alexandre,No review text,5
Devi Rachmawati,No review text,5
Adila Dila,No review text,5
razzor velosive,No review text,5
Reza Rizky,No review text,5
dedi dwi laksono,No review text,5
iLan Denis,No review text,5
2028_ Arini Nur Febriani,No review text,5
FANY RAMADANTI,No review text,5
Bambang Jambi,No review text,3
Sifa Fauziyah,No review text,5
Berkah Cetering,No review text,4
Aris Bambang,No review text,4
Eka Visikurnia,No review text,5
2084_Khamilatus Sholikhah,No review text,5
Radianto 2911,No review text,5
Devi Fitriani,No review text,5
175_Galang Doni Indrawan,No review text,5
09.Muhammad Faiq Hasan_X TKRO.2,No review text,5
Wahyunos Suryanto,No review text,5
Lita Lianti,No review text,5
Asti Fanani,No review text,5
Asmi Aviani,No review text,5
Dina Arina,No review text,2
achmad sobirin,No review text,5
Laila Sakinah,No review text,5
Achmad Roeslan,No review text,5
Muhammad Abdul Aziz,No review text,5
Em Aja,No review text,4
29_Erik Agustino,No review text,5
Khusnul Khotimah,No review text,5
Arif Budi,No review text,5
Ziadatul Fariza,No review text,5
Hartini Pangestuti,No review text,3
26 Ryan Madianto,No review text,5
mhulilabsr,No review text,5
Yuyun Nurlita,No review text,5
MANUSIA BIASA,No review text,5
Do Li,No review text,5
zulfa,No review text,5
Muchsin Afand,No review text,3
Hakim Ox,No review text,4
ipangサバナ,No review text,5
Didiek_wjy,No review text,5
Ilham Mardiarjo,No review text,5
Aku Bagus,No review text,5
Rodhiyah 8,No review text,5
I'ah Salafi,No review text,5
violet channel,No review text,5
Kefin Dwi Kurniawan,No review text,5
Abdul Alchoir,No review text,5
Minhajuna Ulumudin,No review text,5
AMIRAVERS CHANNEL,No review text,5
komeng bae,No review text,5
Safira Lenita,No review text,5
Bella Feby Lia,No review text,5
MUHAMMAD ATHOILLAH,No review text,5
Brian Angga Hermawan,No review text,5
Abdullah Imron,No review text,5
muhammad khairuddin,No review text,5
Irfa Helm,No review text,5
Agung Uwaee,No review text,1
Sinta,No review text,5
079_Naelatul Muna,No review text,5
Wirono All,No review text,1
wong gendeng,No review text,5
Arnestus Ferdinand,No review text,5
Esaa Priyatmi,No review text,5
Gezia Ramadhana Putra,No review text,5
Joe Joe,No review text,5
Taufiq Rohman,No review text,1
