Username,Review,Stars
Irfan fathurrahman,Safari Jateng di Batang merupakan salah satu destinasi wisata keluarga yang terletak di kawasan pesisir pantai utara Jawa Tengah. Tempat ini menawarkan pengalaman wisata yang terjangkau dan menyenangkan dengan suasana alami khas pantai. …,4
Ummu Nufaisah,"Taman satwa di pantai,tiket masuk dws 80rb,anak 50rb.
Kl mau milih ke pantai aja jg bisa...
Sebelum masuk jg ada tiket masuk kawasan wisata 4rb per org. …",4
Uni Anila,"Kalau mau ke sini, lebih enak sih seharian sekalian.. Karena apa? Kalau cuman setengah hari anak2 kurang puas. Gak bisa main air dan lihat pertunjukan2 nya. Pagi nya bisa ke safari beach dulu.. Nanti sorean baru ke pantai sigandunya …",4
Imam Santosa,"Safari Beach Jateng

Merupakan tempat wisata berupa pantai yang berada di Batang sekaligus sebagai …",4
Citra Patriani,"Di rekomendasikan buat yg sayang dgn kluarga, ank2 dan org tersayang, untuk sgala kalangan,. Sahabat, rekan kntor ,.. , kalo ingin melihat pertunjukan lumba lumba di anjurkan datng jgn lwat dari jam 15:00pm(sore) krna show lumba2 tutup jam …",5
Dili 89,"Lumayan buat nambah ongtahuan anak2 , krna blom sempat ke bogor jdi bisa main ke batang aja yg deket dari cirebon. Semoga makin luas dan brkmbang lagi tmpatnya 😻. Semua staffnya ramah2 bngt. …",5
Nova Listiana,"Lumayan dengan harga tiket dan voucher cemilan pinggir pantai. Pelayanan ramah. Jangan berekspektasi kaya bogor dan prigen ya harga tiketnya saja beda. Saat berkunjung hewannya masih ada yg coming soon, semoga hewannya lebih banyak lagi",5
Astri Puspita,"Kedua kalinya kesini, ternyata tempatnya masih saja ada pembangunan. Menurut saya ini cukup mengganggu sih, karena pengunjung harus jalan memutar, dan jalannya becek karena hujan. Kalau kesini jgn lupa pakai sepatu. Sebenarnya taman safari …",4
yolandhini Hardjono,"Pertama kesini 2021 dan baru berkunjung lg Nov 24.
htm 65 dewasa, 45 anak², parkir mobil 10 untuk weekend. Kmrn sy beli tiket online dan ada potongan. Fasilitasnya banyak yg sdh dibenahi dan skrg ada restonya …",4
Annisa Krisridwany,"Tempat bertamasya yang asik untuk keluarga, ada mini zoo, dolphin show, pantai, tempat makan. Harga tiket dewasa 65rb, anak diatas 2 tahun 45rb, parkir 10rb, waktu kami ke sana dapat voucher makan 10rb per orang. Tiket termasuk nonton …",5
bondan wiratmoko b. s.,Sebenarnya tempat ini menarik... Namun karena akses antar spot belum sepenuhnya jadi.. masih natural .. membuat proses menuju ke spot dolphin show jadi bikin kaki sakit dan mudah capek... Belum ada akses khusus. …,4
Yunita Darmawati,Istimewa karena lokasinya di  pantai dan ada dolphin! Koleksinya belum banyak tapi berhubung tiketnya juga lebih terjangkau daripada taman safari yang lain gpp deh ya. Cukup worth . Apalagi mulai 10.30 ada pertunjukan berantai. Anti bosan pokoknya. Ditunggu perluasannya yang sedang otw. Tar datang lagi InsyaAllah,5
Dinar Nur Cahyani,"Tempat edukasi bagus, tempat terawat walau masih dalam tahap pengembangan.. Tapi jalan ke area pertunjukan satwa dari pintu masuk teramat jauh, tifak stroller friendly, bahkan bukan jalan yg bagus untuk pejalan kaki apalgi jika bawa anak lbh dari 1.tapi pertunjukan hewan nya bagus, hewan terawat",4
wen ning,"tempat tertata dengan rapi. tiket masuk bisa ditukar dengan makanan yang ada didalam. bagus sih ide nya buat perpaduan antara pantai dan binatang, yang mau bawa anak-anak aku rekomendasiin sih, adik aku dibawa kesini seneng banget bisa main sambil belajar. rekomended inii👍🏽👍🏽👍🏽 …",5
fransiska ratna wulandari,Ke sana cuma karena pengen lihat dolphin. Karena memang sesuka itu lihat dolphin. Datang mepet banget 3 menit sebelum show dimulai. Harga tiket include dolphin show cukup affordable. Karena kesorean setelah lihat show dolphin dan aneka …,4
Rosita Dewi,"Tiket masuk nya per orang 50k , dapet voucher potongan makanan 10k, bisa liat pertunjukan lumba-lumba sesuai jadwal. Luass banget tempat nya, cocok buat liburan & family time",5
Yuyun Susanti,"Lokasi pinggir pantai jadi selain bisa lihat binatang juga bisa main di pantai, tersedia banyak tempat duduk di pinggir pantai
Jenis binatang kurang variatif, semoga kedepannya diperbanyak lagi.. yg paling …",4
Hana Asyifa,"Hewannya belum terlalu banyak. Ada beberapa atraksi salah satunya lumba-lumba, bisa menunggangi gajah/unta dengan biaya tambahan. Mendapatkan kupon per 10ribu per tiket dapat digunakan untuk membeli makanan.",3
Mutia Triana,"Versi murahnya taman safari.
Pas weekday di libur sekolah, ber2, 1 dewasa, 1 anak umur 8thn 50rb/org. Dapat voucher makan 10rb. …",5
Ajeng Lekas Faradibah,"Tempat kebun binatangnya ngga terlalu luas jadi ga capek buat muter2, dan ga ngebosenin karna ada show yg menarik. …",5
bonifatius sunyoto,"Tidak tertata rapi, kandang banyak yang rusak, masuk ke  kandang aviary burung bayar lagi bukan sebagai kesatuan dari tiket utama yang sebenarnya lumayan mahal
Not recomended",1
Hasan Al-Basri,"Terlalu mahal untuk wahana yg ada cuma itu2 aja, g bnyak juga variasi binatangnya.",3
Dita Maria,"Taman Safari versi murahnya dbanding yg d Bogor n Jatim. HTM wkend dewasa 65k, anak:45k dapet voucher makan 20k/tiket. Ada atraksi satwa dilanjut dg dolphin show. Lokasinya asik deket pantai. Setiap malam minggu ada safari prime jam 18.30 …",5
Amanda Hasyyati,Datang ke sini saat sedang renovasi di beberapa area tapi tetap puas karena ada atraksi hewan dan lumba-lumba …,5
Pokamonyih Explorer,"Lumayan jauh ya dari semarang kota, kesana pas direnovasi jadi kurang puas hehe.. tempat bagus nyaman banyak binatang di mini zoo nya.. kesana pas minggu tp kok sepi apa karna udh jam 4 sore ya jd sudah pada pulang.. toilet bersih, lumba2 …",4
Markus Budi Hermawan,"Menurutku sih ini wisata pantai terbaik di pekalongan dan batang ya... Standardnya nasional, bersih, terawat ngga banyak sampah.
Suasana juga enak banget di sini, manajemen pengelolaannya juga bagus. …",5
Ninik nimah Fauziyah,"Pertunjukan animal show,aerobik, lumba luma bagus tapi lokasi penonton lumba lumbanya itu berlawanan arah sama laut temboknya tinggi dan gaada kipas angin 1pun gerahh banget apalagi kita kesana waktu weekend jam 2siang pertunjukannya disitu …",2
Ade Efin,Cukup lumayan untuk liburan bersama keluarga di sini. Namun masih banyak yg perlu dibenahi khususnya untuk akses ke Safarinya jalannya masih rusak dan baunya sangat tidak sedap. Semoga untuk ke depan bisa lebih baik lagi ya. Untuk atraksi lumba-lumbanya sangat seru.,4
Lenna Syakim,"Pengunjungnya pas ksna rame ada bbrp bis dan Mbl Prbdi

Tp Perawatan nya kurang ya.. …",4
Dill Story,Menyenangkan mengajak anak-anak berlibur ke taman safari Batang. Disana ada beberapa pertunjukan yang bisa kita saksikan dan beberapa hewan yg bisa kita kenalkan kepada anak-anak sebagai bentuk edukasi. Anak saya senang sekali bisa menaiki …,5
Yuda Hermansyah,"Tempat luas, Nyaman ,bnyk tempat duduk, pohonnya rindang ada bnyk mkn jga",4
Jryan Satyawan,"Buktikan.!!!. Jangan hanya denger apa kata orang...
Datang langsung dan nikmati keindahan panorama alam pesisir pantai sembari berwisata edukasi tentang satwa bareng sama keluarga dan kerabat. Kita juga harus …",5
Annisa Amanda Putri,"Weekday :
Child (2-6 th) 35rb
Adult 50rb …",5
Wuri Indah,Masih proses pembangunan..trs sblm masuk ke area sini udh dimintain parkir sm pemda setempat..jd bayar parkir 2x..yg menarik dsna it pertunjukan lumba2..tiket masuk blm termasuk tiket naik hewan2 dsna atau feeding animal dsna,4
Mukti suvi Subarkah,"Pantainya bersih.. Akses masuk udah oke. Petugas ramah, restonya juga yaa.. Menurut saya masih masuk akal ya harganya. Hewan2nya belum terlalu lengkap, masih proses pengembangan juga. Tp lumayan lah buat 'momong bocah'. Di bbeberapa area …",4
Dita Primaningrum,"Salah satu tempat favorit berlibur dgn anak², dari Semarang via tol exit Batang Kandeman. Kebun binatangnya jadi 1 dgn pantai Ujungnegoro kalau tdk salah, HTM public holiday hanya 70ribu tapi bisa menikmati sepuasnya hewan² di dalam dan …",5
