Username,Review,Stars
YAN AJI,"Konsep taman safari dipinggir pantai jadi bisa ada 2 pilihan mau masuk kepantai saja atau liat kebun binatangnya, harus dipertimbangkan lagi tujuan anda kesini karena yang tiket taman safari dan hanya liat pantai beda ya,kalo pengen liat2 …",5
Zaki Adi Prabowo,Cukup bersih dan banyak daya tarik. Sayang sekali harga makanannya sangat mahal dan mereka tidak memiliki kebijakan makanan dan minuman di luar.,3
Ardistya Aji,No review text,5
r zurya,"Dophinnya bagus, cuman sayang fasilitas tidak sebanding dengan harga tiketnya, masih kena retribusi masuk sebelum ke area wisata, resto hanya ada 1 tempat kecil dan tidak tertata sistem pembeliannya (siapa cepat dapat), kasihan yg nunggu duluan yg bawa anak",1
Inten Nurjanah,"Senang bisa berkunjung ke safari beach batang... tapi kmrn pas ke sini pas masih ada pembangunan.. hewannya mgkn belum lengkap. Ada pertunjukan hewan2 juga di jam2 tertentu. Bisa naik gajah, unta. tp yg paling menarik pas atraksi lumba2 …",4
Wahyu Dwi Pambudi,Tempat masih harus dibenahi,5
Adianto Kurnia,"Jelek, becek , g jls",1
Robin Purba,"Rincian tiket Masuk wekkend
#Tiket masuk pantai sigandu (5rb/orang) karena lewat jalur dekat pintu tol/alun alun. …",2
ravi 21,"Nonton lumba"",gajah atraksi... menghibur anak"". Sebagian masih dalam proses pembangunan semoga segera lebih rapi dan tambah satwanya",4
Nur Jamil,Sebetulnya sudah bagus tolong tempat kandang dan aquarium hewan2nya lebih dirawat,4
Bakul Sabun,"Sangat tidak kids & stroller friendly. Masih banyak area yg under construction. Cuma ambil pesanan siomay & dimsum, antri 20 menit. Anak saya korban kesandung krn jalannya paving block sdh banyak yg tidak rata dan pipi kena pipa tempat …",1
Dewa Erfananda,"Kebersihan dan estetika nya bisa ditingkatkan..
Enak ajak anak disini tempat ga terlalu luas jadi substansial ke tujuan hewan² ga capek jalan …",5
Binar Bening Migunani,No review text,4
Dili 89,"Lumayan buat nambah ongtahuan anak2 , krna blom sempat ke bogor jdi bisa main ke batang aja yg deket dari cirebon. Semoga makin luas dan brkmbang lagi tmpatnya 😻. Semua staffnya ramah2 bngt. …",5
Hana Innocenta,No review text,5
Toni Suratno,No review text,5
Sewu Dino,"Tempatnya bagus adem kirain tadinya panas,.lumayan buat liburan anak istri cuman boleh kasih masukan dikit g sih?? Ma'af sebelum nya td saya sedikit ngobrol pada salah 1 security nya itu kebersihan mulutnya d jaga kayaknya,.g sengaja liat …",3
Dendy Heryanto,Tempat Liburan yg indah,5
Candra Mulia,No review text,4
Widi Ww,No review text,5
Dipo A,"Not bad, but still kurang bagus kurang bersih",3
Yunita Darmawati,Istimewa karena lokasinya di  pantai dan ada dolphin! Koleksinya belum banyak tapi berhubung tiketnya juga lebih terjangkau daripada taman safari yang lain gpp deh ya. Cukup worth . Apalagi mulai 10.30 ada pertunjukan berantai. Anti bosan pokoknya. Ditunggu perluasannya yang sedang otw. Tar datang lagi InsyaAllah,5
Gabriel Ginting,No review text,5
Nova Listiana,"Lumayan dengan harga tiket dan voucher cemilan pinggir pantai. Pelayanan ramah. Jangan berekspektasi kaya bogor dan prigen ya harga tiketnya saja beda. Saat berkunjung hewannya masih ada yg coming soon, semoga hewannya lebih banyak lagi",5
Hasan Al-Basri,"Terlalu mahal untuk wahana yg ada cuma itu2 aja, g bnyak juga variasi binatangnya.",3
Famuji Dieng,No review text,5
dhena wisnu Anggara,No review text,5
MARSTIYOKO SiP,Recomended untuk berekreasi dan edukasi anak anak..,5
Afief Sururi,No review text,4
lilis herawati,"Murah,cmn masih kirang banyak dan tertata",4
Nela Naelul Muna,Menyenangkan,5
adhisty dewi,No review text,5
ciha nur janah,No review text,4
Richan Fakhrurrizal,No review text,5
Pendi amga,Beach safari Batang Jawa tengah 👍 …,2
Sigit Dwi Harjanto,"Sedang dalam perbaikan di beberpa sisi jadi agak terlihat berantakan, mungkin mengejar agar saat libur lebaran sudah rapi",4
Hana Asyifa,"Hewannya belum terlalu banyak. Ada beberapa atraksi salah satunya lumba-lumba, bisa menunggangi gajah/unta dengan biaya tambahan. Mendapatkan kupon per 10ribu per tiket dapat digunakan untuk membeli makanan.",3
Didin Ari H,"Cocok untuk berlibur bersama keluarga
Pentas LUMBA - LUMBA
Naik GAJAH …",5
MeiSa Abidin,No review text,5
Harmoko Liemantara,"Bagus, sayang kecil dan kurang bersih",4
Mery Devi,Tempat yang recomend buat berlibur bersama keluarga. Untuk pantainya sangat indah,5
Banyu Tri Mulyo,No review text,5
anin sholihah,No review text,5
dian ardianto,Bagus,5
Atiq Hakiki,No review text,5
Dinar Nur Cahyani,"Tempat edukasi bagus, tempat terawat walau masih dalam tahap pengembangan.. Tapi jalan ke area pertunjukan satwa dari pintu masuk teramat jauh, tifak stroller friendly, bahkan bukan jalan yg bagus untuk pejalan kaki apalgi jika bawa anak lbh dari 1.tapi pertunjukan hewan nya bagus, hewan terawat",4
Naufal Arkaan,No review text,5
Bogiefinnick Gie,No review text,4
mella trisnia,No review text,5
Faida Aprilia,No review text,5
Lia Wijayanti Wibowo,"Atraksi lumba2nya sudah update. Sudah kesini 3 kali alhamdulillah selalu puas dengan atraksi lumba2nya. Pantainya bersih, enak buat mainan anak2",5
Ali Hakim,Coba aja pasti menyesal,1
ike n amalia,No review text,5
Purwanto 96,Ready bunga segar,5
maryami barotun,Pertunjukan satwa dan lumba lumba menarik,5
Vika Pidriinayah,No review text,3
Rofiq Lukman,tujuan yang bagus,5
robert carbon,"Tempat Untuk edukasi anak” sudah cukup baik,saran kami sebagai pengunjung untuk lebih memberi fasilitas kelayakan tempat duduk dibagian tribun Dolphin, jangan sampai tempat untuk lewat dijadikan tempat duduk (kotor kan duduk dibekas pijakan …",3
Ardaya 77,No review text,5
Al Haris galery,No review text,5
Erik Faiki,"tempat wisata yang sangat bagus , sangat cocok untuk piknik keluarga",5
Khaidar Smp14,SERU BGT,5
Puguh Widiyatmoko,"Mantabs
Lebih keren lagi kalau ditanbah binatangnya",5
reo kristi,Lumba lumbanya bisa berenang keren,5
Polidy,"untuk staffnya dari pintu masuk hingga di dalam ramah""...terutama buat yg jaga pintu masuk di lumba""...super sabar meskipun di bentak"" org tetap sabar dan ramah...",5
Marlina putriyana,"Tiket masuk dewasa 70rb/orang, anak diatas 2th 50rb/anak. Dapat voucher 10rb/tiket.
Naik gajah 50rb/orang. Jadi kalau anak diatas 2th+pendamping harganya 100rb. …",1
Noor Jannah,"Untuk pelayanan di arena kebun binatang sangat ramah sekali,,tp saat penukaran voucher food kita udah muter semua habis..harusnya dilebihin dong apalagi pada hari libur..bikin kapok aja kesini..pengunjung muter kan pasti lama,,pokoknya arena food nya gak banget 👎🏻 …",3
Raya Pradana,"Tidak recomended sama sekali.. Tiket mahal, wahana sedikit, ga boleh bawa makanan dr luar, beli didalam mesti pakai Qris.. Antri",1
Ummu Nufaisah,"Taman satwa di pantai,tiket masuk dws 80rb,anak 50rb.
Kl mau milih ke pantai aja jg bisa...
Sebelum masuk jg ada tiket masuk kawasan wisata 4rb per org. …",4
