Username,Review,Stars
Arief Wahyudi Kasino,No review text,5
Tyan Saputra,Sekolah dengan lulusan teknik otomotif terbaik,5
Afika riskiana,Sekolahnya bagus,5
Tidak punyanama (Gausahkepo),No review text,5
TIM MALAKA PRO,"Anak""nya berprestasi dan juga berakhlak baik",5
18. PUTRI DIT KARIN SETIA,Menyenangkan,5
Chelsika Putri salsabila,No review text,5
rizqii awall,No review text,1
Arlott Tiktok,No review text,4
eryati 123,👍👍👍👍👍👍 …,5
Ghina Akyla,No review text,5
Muhammad Murdikahfi,No review text,5
Zia Ghozi Fatahillah,No review text,5
Ratri Diantari,No review text,4
Stephany Fatkhun Rizkiani,No review text,5
Ayu Oviona,No review text,5
TRUCK_ CHANNEL,Tempat bersih luas,5
Wyusaa,Luar provinsi bisa daftar bkknya ga ya?,3
Lanna,"Daftar PT otomotif di BKK ini
pas bulan puasa dari jam 7 pagi sampai jam 3 sore peserta ada 200 orang yang keterima cuman 24 orang parah banget dah",1
susila gilang,SMK Negeri 1 Kedungwuni adalah sekolah yang bermutu,5
zugex yanto,𝘒𝘦𝘯𝘢𝘱𝘢 𝘺𝘢  𝘫𝘢𝘥𝘸𝘢𝘭 𝘱𝘶𝘭𝘢𝘯𝘨 𝘢𝘯𝘢𝘬 𝘴𝘦𝘬𝘰𝘭𝘢𝘩 𝘴𝘦𝘬𝘢𝘳𝘢𝘯𝘨 𝘩𝘢𝘣𝘪𝘴 𝘮𝘢𝘨𝘩𝘳𝘪𝘣 𝘵𝘦𝘳𝘰𝘴 ....?  𝘱𝘦𝘭𝘢𝘫𝘢𝘳𝘢𝘯 𝘢𝘱𝘢 𝘭𝘢𝘨𝘪   𝘺𝘨 𝘨𝘶𝘳𝘶 𝘢𝘫𝘢𝘳𝘬𝘢𝘯...?  𝘱𝘢𝘥𝘢𝘩𝘢𝘭 𝘣𝘦𝘴𝘰𝘬 𝘫𝘶𝘨𝘢 𝘣𝘦𝘳𝘢𝘯𝘨𝘬𝘢𝘵 𝘴𝘦𝘬𝘰𝘭𝘢𝘩 𝘭𝘢𝘨𝘪   𝘬𝘢𝘮𝘪 𝘴𝘦𝘣𝘢𝘨𝘢𝘪 𝘰𝘳𝘢𝘯𝘨 𝘵𝘶𝘢 𝘮𝘦𝘳𝘢𝘴𝘢 𝘸𝘢𝘴 𝘸𝘢𝘴  𝘫𝘢𝘯𝘨𝘢𝘯 𝘫𝘢𝘯𝘨𝘢𝘯 𝘬𝘯𝘢𝘱𝘢 𝘯𝘢𝘱𝘢 𝘥𝘪 𝘫𝘢𝘭𝘢𝘯   𝘵𝘰𝘭𝘰𝘯𝘨 𝘣𝘦𝘳𝘪   𝘢𝘭𝘢𝘴𝘢𝘯 𝘯𝘺𝘢 𝘥𝘰 𝘱𝘢𝘬 𝘨𝘶𝘳𝘶/ 𝘣𝘶 𝘨𝘶𝘳𝘶 🙏🙏🙏 …,1
Reza Coeg,No review text,5
Asti Dian Arini,TKR Otomtif Juara keren,5
Ari Budianto,No review text,5
Ananda,No review text,5
04. Muhamad Ariq Tamam,No review text,5
13_azigna nurul aini,No review text,5
Neon Killer,No review text,5
Cahyono Yono,No review text,4
Moh Taufiq,No review text,5
rukimin guntur,No review text,5
Mukhbit Fadlurrohman,No review text,5
29 - Guitharrevadhitya Rinindra Dhitya,No review text,3
Rusmanto 24,No review text,3
Wisnu Arifin,No review text,5
Ilma Ramadhani,No review text,5
Rahma Martina Fitri,No review text,5
Kholilatul Fitriana,No review text,5
ADZRA RESTU PRATAMA,No review text,5
chamdan kurni,No review text,5
Afrin Kurniawan,No review text,5
random video,No review text,4
Dany Faisal,No review text,1
Anam Khoerul,No review text,5
03. M. Kevin B. Ardiansyah,No review text,5
Dewi Masitoh,No review text,5
Prasetyo Cah Elek,No review text,1
Khaerul Firdaus,No review text,5
Miftahul Hawaji,No review text,5
hasby rizqi,"Adem luarnya, dalemnya sih ngga tau ya soalnya belum pernah masuk.. ajak masuk dong pa guru",5
Piring Keramik,Bagus,5
Rahmat Santoso,No review text,5
Ryan Adi Putro,No review text,5
Siti Yulita,Letak strategis...,5
Anggi Alamsyah,Aula SMK N 1 Kedungwuni Pekalongan,5
Muhamad Khatami,No review text,1
Muhammad Viky Prayudi,Sekolah terbesar di Kota Pekalongan,5
M. Khakim Maulana,"Tempat nyaman, asri ,",5
Adinda Putrii,No review text,5
Yohanes Baslu,No review text,5
29. Kharismaul Khusna X DPIB 1,No review text,5
Edo Septiyano,No review text,5
Cryptoers,No review text,5
tri kisbianto,No review text,5
Wulan Septriasa,No review text,3
08_Amaliyah Nila Nafilah,No review text,5
mas Dewo,No review text,5
Fahmi Abdillah,No review text,5
Tina Auliani,No review text,5
Pria Idaman,No review text,5
35. Winda Amelia X TKRO 2,No review text,5
Asrofi,No review text,5
Yoga Si Surya,Luas,5
fhmz faza,No review text,5
