Username,Review,Stars
yovita irawati,Lokasi strategis d tengah kota. Dosennya oke.  semoga semakin maju. Foto diambil dr lantai 6 kampus,5
Ika Hapsari,"Salah satu universitas swasta dengan lokasi paling strategis di jantung kota Semarang (Kampus Mugas). Memiliki beberapa fakultas dengan program studi pilihan seperti fakultas ekonomi dan bisnis, fakultas hukum, fakultas TI, fakultas bahasa …",5
Sandy (Irawan),"Salah satu kampus terbaik dan legend di Kota Semarang, S1 maupun S2",5
MUHAMMAD HAAFIZ,"Kampus ini memiliki fasilitas yang lengkap dan modern, seperti perpustakaan yang luas, dan ruang kelas yang nyaman
Lingkungan kampus sangat hijau dan asri, memberikan suasana yang nyaman untuk …",5
IWAN PANJI,"Angkatan 2017 kelas reguler sore ,jurusan Ilmu Hukum
Kuliahnya menyenangkan ,ngasih nilainya gampang 🫶🏻🫶🏻🫶🏻 …",5
Okky Ferdiansyah,Pemandangan malam hari dari kampus UNISBANK,5
Emir Hartri Putra,Di lantai 7 terdapat ruang seminar yang cukup untuk 50-60 orang di dalamnya. Ruangannya cukup kondusif dengan bentuk melebar.,5
Maulana Aria Bima Putra Lies,terimakasih kampus tercinta berkat ilmu nya dan bantuan dari Symphony Training Center saya bisa kerja di luar negeri sekarang,5
Shinta Dita Dewi,"tempat bagus, luas ,bersih dan asri banget banyak tumbuhan tanaman. jadi semakin semangat belajar🥰 …",5
Agus Wayang Darto,"kampus oke
termasuk kampus lama eksis di Kota Semarang
saat ini banyak perubahan dilakukan
saya merekomendasikan masuk Unisbank",5
sarah sumponogati,"salah satu univ dengan lokasi paling strategis di tengah kota. pemandangan bagus dari lt 9. kelas nyaman, belajar jadi lebih efektif.",5
詩織フユユキ,Hmm~ baru tau kelas reguler / kelas pagi setiap bulan dipungut biaya... klo di universitas lain rata2 cuma bayar per semester dan g ada pungutan tiap bulan~ …,1
Yuan Tann,"Klo mau kuliah dsni, harus rajin cari info dan rajin komplain. Karena staff manajemen ny kurang baik dan suka ada kesalahan, jd baru bisa kerja bener ny klo sudah d komplain. …",1
Liliknovian 397,"pilihan pts yang terbaik dan berkualitas, tempat strategis,fasilitas ok dan di ampu dosen² yg ahli serta berkompeten di bidangnya.
bukan kaleng-kaleng",5
Ilham Bagus Firnando,"Kmpus yg masih banyak pungli skripsi gx slesai"" harus ngambil makul baru seperti anak maba lagi dan di bebankan membayar semua dari spp jdi ank baru dan pembayaran skripsi klau tidak selalu komplane gx bakalan tau stafnya dan dosen""nya saat …",1
Bumiku Ungu,Salah satu kampus swasta favorit di kota Semarang. Ada 2 kampus Unisbank. Tempatnya di Mugas dan Kendeng. Fakultas favoritnya adalah Fakultas Ekonomika & Bisnis. …,5
Borneng 66,Posisi kampus tengah kota. Depan taman warak endog.,3
Audymia Liviana,"Kenapa sangat dipersulit untuk bisa mendapat bimbingan SKRIPSI, saya mhs transfer kelas DLC (kls karyawan malam) dan berdomisli luar kota ini mau bimbingan skripsi HARUS OFFLINE di jam kerja pagi - sore, tujuan saya daftar kelas malam itu …",1
The Blog santjoko,Terlihat jelas dari jalan mudah dicari karena posisi gedung yang tinggi,3
Karina Bella,"Kasian kelas malam sih bayar full tapi dpt fasilitas sebulan sekali semoga di mudahan bagi yang kuliah malam ya pak ibu jgn di persulit, banyak yang kerja cuma cukup untuk bayar kuliah aja 🙏 …",2
susanto,"Tidak merekomendasikan kampus ini. BAAK nya jelek, mau wisuda aja susah. Wisuda bayar aja dibikinin persyaratan ini itu. Bayangin lo kuliah 4 tahun lebih pas wisuda masih dipersulit? Seriusan pengen kesini?",1
Shelly Putri,"Kampus terzonk yg pernah ak temui, adikku mau wisuda di persulit... Biayaa jugaa banyakk yg harus d bayar beda sama kampus lain.... Tolong ya di benahi toefl yg harusnya dulu di luar kampus di bolehin sekarang ga di bolehin tanpa ada info …",1
bambang budiharso,Lokasinya strategis di tengah kota Semarang. Berada tepat di belakang Taman Pandanaran. Bisa dijangkau dengan mudah dengan angkutan umum. Banyak wisata kuliner di sekitar kampus. Beberapa fakultas  yang ada di kampus ini diantaranya Fakutas …,5
Tegar Rizha Yudha,"Kampusku disini, gedungnya sih gede tapi yah, parkirannya gak seberapa, lift nya juga ganjil genap tiap lantai. Biaya kuliah sih lumayan tapi jika lebih dari tanggal 10 siap2 kena denda 200 ribu deh. Hahahahaha seperti dipaksa aja sih",3
agustinus nugroho,"Tempatku menimba ilmu selama 4 tahun. Banyak kisah yg didapat dari kampus ini. Masuk kelas reguler sore, dari yg dulu jam masuk jam 5 sore sampai terakhir jadi jam 6 sore. Sayangnya terakhir2 kuliah malah ada pandemi corona, jadi gak bisa …",5
Muhammad Iqbal,"Lewat kampus ini hampor tiap hari karena saya sempat ngantor di ptpn sembilan,  belakang unisbank. Kampus ini juga bisa saya lihat dari kamar hotel saya di hotel pandanaran. Kualitas pendidikannya saya kurang paham sih, yang jelas saya baru dengar unisbank setelah lewat aja. Lokasi kampus sangat strategis. Gampang ke mana mana",3
Margono,Kampus yg bagus nyaman pusat kota lagi....cocok buat belajar dan banyak lulusan dari unisbabk yg berhasil,5
Jerry RM,Kampus yang lokasinya di pusat kota semarang... mau kuliah di unisbank aja😁😁 …,5
handoko widiyanto,Aman Nyaman Damai... Cocok untuk studi...,5
Mustika Aircond,Baru kali imi liat kqmpus ada nama-nama bank nya..,5
Ian,Banyak kenangan & ilmu di snih bahkan ketemu jodoh juga saat kuliah di snih ☺,5
Dani Pratiwi,"Salah satu universitas swasta di kota semarang tepatnya tengah kota dekat stadion trilomba juang
tempat sangat strategis depan kfc pandanaran san taman kota",5
Arwana Record,Banyak sisi buruknya kampus bobrok pelayanan keuangan buruk tidak responsif sangat bad attitude dan tukang palak dikit dikit kena denda😂😂 …,1
"Tri Wibowo, S.E.",Saya Alumni Stikubank Semarang di bendan duwur masuk 1994 wisuda 1999 ambil program extension...selama kuliah blm pernah naik sampai bangunan paling atas..... kuliah sore terus....sukses buat Stikubank Semarang,5
Michael Christio Siholta,"Barang siapa yang mengenal mahasiswa lulusan universitas ini atas nama Frans Adi Wibowo, Informatics Engineering unisbank 2008 …",5
Muchamad Kodar Laksono,Kampus ternama di kota Semarang.,5
hera proviliana,"Pelayanannya jelek banget sumpah .... Tnya baik baik jawabnya ketus bgt asli , Ga ngerekomendasiin kampus ini",1
Alvin Yudhistira,"Sebuah universitas yang terdapat di kota Semarang, dan pernah menjadi tempat untuk seleksi ikatan dinas STIS pada tahun 2019",4
Intan Sonia Apriani,Tempat menimba ilmu yg tepat,5
Wick Hartono TIK_ Kab. Jepara,Alhamdulillah sangat puas kuliah di sini.berbobot,5
Irfan Ade Gilang,Difoto Dari rest area jalan tol,5
Kartika Putri A,"tolong untuk Unisbank, web e learning Unisbank sering ngelag tidak bisa di buka
mohon segera di perbaiki🤧 …",3
Asri Septiya Utama,"Gedungnya seperti mall, letak parkiran ada dibawah gedung, untuk naik keatas bisa menggunakan lift dan tangga.",5
Sri Mulyani,Kampus di pusat Kota. Akses transportasi umum mudah. Pilihan program studi beragam dan terakreditasi,5
Lulu Zahroh,"Saya mau tanya,, apa syarat mahasiswa yg do/putus studi dpt surket pernah kuliah dan transkrip nilai yg sudah didapat saat kuliah?",5
yoga candra,"Kampus tengah kota nih, sebelumnya di dpn kampus ada SPBU sekarang jadi taman kota",5
Naufal Afif,"Sangat strategis, tapi waktu semester 5 ke atas, perkuliahan akan di alihkan ke unisbank bendan , sampangan",5
Bagaserdo Almaghtani,"Saya punya kakak yang bernama fery disana kak fery  nilainya bagus,terus unisbank jangan sampai  bangkrut makasih,tolong sampaikan ke kak fery dan kepala unisbank,maaf kalau salah2 kata,saya pengen ke unisbank mau kuliah hahaha.....",5
Pak Teguh Gunarso,Menjadi salah satu universitas yg ada di kota semarang dengan fakultas dan jurusan yang bermacam²,4
Lailatul Fitriani,Cukup luas dan mahasiswanya cukup ramah.,5
Ida Fitriatun,"Universitas Stikubank (Unisbank) Semarang berlokasi di jalan mugas deerah pahlawan terdapat fakultas Teknologi Informasi dencakup program studi Teknik Informatika, Sistem Informasi, dan D3- Manaj. Informatika",4
Dwi Septianingsih,Salah satu kamus IT di Semarang yang menyediakan kelas ekstensi untuk mahasiswa kuliah kerja.,3
Ashokani,"tolong dong, pelayanan bagian keuangan yg responsif gitu, percuma diberikan nomor untuk dihubungi tetapi pelayanannya sangat buruk",1
Rahmaelala,"Telat bayar Spp, kena Denda!! emang kapitalisme kampus ini sangat kental hwahahhahaha",1
Agustinus Ariawan,"Pagi kerja
Sore Kuliah
2000 sd 2004 ada di sini",5
ALIPO TV,"Kampus lokasi strategis , kalo free bisa jalan jalan ke mall , deket bgt ,",5
hei_aim,Komen terakhir semoga ditanggapin dengan serius tuh wkkwkwk,2
Bima Sena,Kampus strategis tengah kota tdk perlu jauh2,5
Andriy RN 285,Mau cari kuliner apa aja banyak tersedia semua. Tinggal nego uang saku aja.,5
Fahmi Alessandro,"Gedungnya gedhe..
Dan suasana sejuk disini .dataran tinggi. …",5
Saddam Aldiva Mahardika,"Kampus 1 Mugas , yang sama seperti kampus 2 Kendeng berlantai 9",5
M Sahrul ارول,"strategis, mudah dijangkau, fasilitas memadai",5
Rizal Hardiansyah,Pelayanan dan baak ter ruwet,1
A _ Bonardo Purba,Mulai dr covid sampai saat ini masi daring..,1
Muhammad Rizky,Mau tanya apakah kampus unisbank yang di deket tlj untuk kelas sore selama covid 19 ini apakah masuk ?? Atau libur,3
Zrh Zettira,Angkatan 98...unisbank terbaik,5
Muhammad Darno,kampus yang letaknya cukup strategis di tengah kota Semarang..,3
Dwi Jono,Tempat kuliah waktu dulu kenanganku  di kota semarang,5
Ida Zubaidah,"Tempat nyaman, aman bersih...",5
umaroh wahyono,kampus nya bagus di tengah kota lulus tahun ini pengen kuliah di stikubank,5
mita rizqy,"Bismillah, semoga stikubank memberikan berkah..",5
ucik faruqo heni,"Tempatnya nyaman , kampus tengah kota juga",5
muhammad saiful anwar,"Kampus yg Istimewa,,Siap bersaing dg yg lainnya.",5
Seno Prakoso,"Tempat strategis, nyaman, representatif",5
chris yoga,Universitas yang lengkap berada di pusat kota semarang.,5
Deng Gel,Saya kuliah di universitas ituvmakanya saya beri 5 bintang,5
Roviana,"lokasi dekat dgn keramaian, strategis",5
Abdur Rohman Al Falahi,Tempat kuliah yg berkualitas tinggi,5
Win Anugerah,"kampus strategis, entrepeneuership oke..",5
Hanafi Richi,cukup akurat untuk lokasi perkuliahan yang mudah,5
Sekar Rahning,"9 lantai, ada lift ada tangga",5
muza yanah,Universitas Stikubank merupakan lembaga pendidikan yg bagus..👍 …,5
Sugeng Murdowo,Bisa jadi alternatif tempat kuliah yang baik,5
Soepriyadi Soepriyadi,"universitas letak di pusat kota, akses mudah",3
teguh khristianto,Kampus ungulan di Jawa Tengah dan berlokasi di tengah kota Semarang,5
miyati mia,Kampus nyaman sukses selalu...,5
denok arum,Kampus nya  strategis,4
Henik Heni,"Nyaman, menyenangkan, kampus favorit 😍 …",5
Oky Bayu,Kampus tercinta 🔥 …,5
Davit Rinawan,Dekat rest areaa,3
si hoki,ada taman depan kampus. adem,5
Andhika Jason,Kampus ku terpercaya.,5
Eka febry setiawan (Sukaabermain),Tempat mencari ilmu,4
Gunadi,Kampus Perbankan di pusat kota semarang,4
Evander Yosua Smith,Tempat keren dan banyak fasilitas,5
fad mbolang,Mantap kampusnya,4
Taton Kurniawan,Belajar untuk ber ekonomi Indonesia,5
Eventsclick,kampus yang memiliki pencetak entrepeneurship,5
fx hendro,Hanya sempat test saja,5
KONVEKSI SEMARANG,Lokasi strategis,5
Intan Intan,Bagus sekali,5
Helmy Hadi Hidayat,Tempat kuliah ilmu ekonomi.,4
Sapto Hartono,Tempatnya bersih dan nyaman,5
Mohammad Fauzan,kampus swasta termurah dan terbaik,5
Wahyu Dwi Pambudi,Kampus tengah kota nyaman,4
DAWAI LENTERA,universitas mantap gan,5
Oky Wulandari,Kampus tengah kota,4
