content,text_tokens_stemmed,Label,Label NB
"Terima kasih RSUD Kajen yang telah mengangkat ambeien yg ku derita bertehun-tahun. Dengan sangat aman. Kepada Pak Dony, sungguh engkau “life saver” terbaikku, panjang umur dan senantiasa diberkahi kebahagiaan yang melimpah di kehidupan manapun. Diriku tanggal operasi 22 januari 2025.",terima kasih rsud kajen angkat ambeien yg ku derita bertehuntahun aman dony sungguh engkau life saver baik umur senantiasa kah bahagia limpah hidup mana diri tanggal operasi 22 januari 2025,positif,positif
Pelayanan kurang ramah,layan ramah,negatif,positif
"Alhamdulillah dn terimakasih IGD walupun ruangan penuh ttp mengusahakan buat pasien,,,sukses selalu",alhamdulillah dn terimakasih igd walupun ruang penuh ttp usaha pasiensukses,positif,positif
"Pelayanan untuk pasien BPJS tolong diperbaiki lagi pasien BPJS juga orang sakit,",layan pasien bpjs tolong baik pasien bpjs orang sakit,negatif,positif
"RSUD di sini ko dari dulu sampai sekarang ga ada perubahan. Pelayanan buruk, apalagi ke orang tua kasian sampai di bentak gitu sama cs nya. Terus salah diagnosa lagi :/, orang masuk IGD ga di temui dokternya samsek ? Yang bener aja sampe …",rsud ko ga ubah layan buruk orang tua kasi bentak gitu cs nya salah diagnosa orang masuk igd ga temu dokter samsek bener aja sampe,negatif,negatif
"Terimakasih RSUD kajen, pelayanannya bagus, cepat dan perawat IGD nya ramah - ramah, pertahankan ya smoga kedepanya semakin lebih baik lagi",terimakasih rsud kajen layan bagus cepat awat igd nya ramah ramah tahan ya smoga depa,positif,positif
"untuk pelayanan 5/10, kurang komunikatif dan kurang sopan🙏 untung jajan depan rs enak""😔✌️ infus habis saat minta tolong untuk diganti, beberapa dokter dan perawat terlihat memutar mata malas padahal itu sudah job desk mereka🙏 semoga bisa dievaluasi untuk hal pelayanan. terimakasih. …",layan 510 komunikatif sopan untung jajan rs enak infus habis tolong ganti dokter awat putar mata malas job desk moga evaluasi layan terimakasih,negatif,positif
No review text,no review text,positif,positif
"sebulan yg lalu saya dirawat di ruang Alamanda di RSUD Kajen. alhamdulillah pelayanannya cepat dan tepat. ruang rawat inapnya jg nyaman, bersih, dan rapih. perawatnya juga ramah dan baik-baik 👍🏻 …",bulan yg rawat ruang alamanda rsud kajen alhamdulillah layan cepat ruang rawat inap jg nyaman bersih rapih awat ramah baikbaik,positif,positif
Untuk pelayanan baik,layan,positif,positif
"Perawatan di ruang matahari memuaskan, tetapi untuk ruangan bisa ditambah pendingin. Terima kasih",awat ruang matahari muas ruang tambah dingin terima kasih,positif,positif
Pelayanan baik dan memuaskan alhamdulillah,layan muas alhamdulillah,positif,positif
Membantu dan baik,bantu,positif,positif
"Pelayanan memuaskan, rumah sakit bersih da bagus",layan muas rumah sakit bersih da bagus,positif,positif
Melahirkan di RSUD Kajen Alhamdulillah mendapatkan pelayanan yang baik serta memuaskan,lahir rsud kajen alhamdulillah layan muas,positif,positif
Selama melakukan pengobatan di RSUD kajen pelayanan dan fasilitas yang diberikan cukup memuaskan,obat rsud kajen layan fasilitas muas,positif,positif
Terimakasih alamanda atas perawatanhya,terimakasih alamanda perawatanhya,positif,positif
No review text,no review text,positif,positif
Terima kasihrsud kajen ibuku di rawat dialamanda.... Perawat nya joss .... Ruanganya nyaman,terima kasihrsud kajen ibu rawat alamanda awat nya joss ruanganya nyaman,positif,positif
"Rumah sakitnya bersih, disiplin juga.
First impressions buat magang disini bagus dan kelihatannya nyaman",rumah sakit bersih disiplin jugafirst impressions magang bagus nyaman,positif,positif
"tempatnya nyaman dan asri, perawatnya dan pekerja disini sangat ramah",tempat nyaman asri awat kerja ramah,positif,positif
