score,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed,Label
5,"Konsep taman safari dipinggir pantai jadi bisa ada 2 pilihan mau masuk kepantai saja atau liat kebun binatangnya, harus dipertimbangkan lagi tujuan anda kesini karena yang tiket taman safari dan hanya liat pantai beda ya,kalo pengen liat2 …",konsep taman safari dipinggir pantai jadi bisa ada 2 pilihan mau masuk kepantai saja atau liat kebun binatangnya harus dipertimbangkan lagi tujuan anda kesini karena yang tiket taman safari dan hanya liat pantai beda yakalo pengen liat2 ,konsep taman safari dipinggir pantai 2 pilihan masuk kepantai liat kebun binatangnya dipertimbangkan tujuan kesini tiket taman safari liat pantai beda yakalo pengen liat2,"['konsep', 'taman', 'safari', 'dipinggir', 'pantai', '2', 'pilihan', 'masuk', 'kepantai', 'liat', 'kebun', 'binatangnya', 'dipertimbangkan', 'tujuan', 'kesini', 'tiket', 'taman', 'safari', 'liat', 'pantai', 'beda', 'yakalo', 'pengen', 'liat2']",konsep taman safari pinggir pantai 2 pilih masuk pantai liat kebun binatang timbang tuju kesini tiket taman safari liat pantai beda yakalo ken liat2,positif
1,"Dophinnya bagus, cuman sayang fasilitas tidak sebanding dengan harga tiketnya, masih kena retribusi masuk sebelum ke area wisata, resto hanya ada 1 tempat kecil dan tidak tertata sistem pembeliannya (siapa cepat dapat), kasihan yg nunggu duluan yg bawa anak",dophinnya bagus cuman sayang fasilitas tidak sebanding dengan harga tiketnya masih kena retribusi masuk sebelum ke area wisata resto hanya ada 1 tempat kecil dan tidak tertata sistem pembeliannya siapa cepat dapat kasihan yg nunggu duluan yg bawa anak,dophinnya bagus cuman sayang fasilitas sebanding harga tiketnya kena retribusi masuk area wisata resto 1 tertata sistem pembeliannya cepat kasihan yg nunggu duluan yg bawa anak,"['dophinnya', 'bagus', 'cuman', 'sayang', 'fasilitas', 'sebanding', 'harga', 'tiketnya', 'kena', 'retribusi', 'masuk', 'area', 'wisata', 'resto', '1', 'tertata', 'sistem', 'pembeliannya', 'cepat', 'kasihan', 'yg', 'nunggu', 'duluan', 'yg', 'bawa', 'anak']",dophinnya bagus cuman sayang fasilitas banding harga tiket kena retribusi masuk area wisata resto 1 tata sistem beli cepat kasihan yg nunggu duluan yg bawa anak,negatif
4,"Senang bisa berkunjung ke safari beach batang... tapi kmrn pas ke sini pas masih ada pembangunan.. hewannya mgkn belum lengkap. Ada pertunjukan hewan2 juga di jam2 tertentu. Bisa naik gajah, unta. tp yg paling menarik pas atraksi lumba2 …",senang bisa berkunjung ke safari beach batang tapi kmrn pas ke sini pas masih ada pembangunan hewannya mgkn belum lengkap ada pertunjukan hewan2 juga di jam2 tertentu bisa naik gajah unta tp yg paling menarik pas atraksi lumba2 ,senang berkunjung safari beach batang kmrn pas pas pembangunan hewannya mgkn lengkap pertunjukan hewan2 jam2 gajah unta tp yg menarik pas atraksi lumba2,"['senang', 'berkunjung', 'safari', 'beach', 'batang', 'kmrn', 'pas', 'pas', 'pembangunan', 'hewannya', 'mgkn', 'lengkap', 'pertunjukan', 'hewan2', 'jam2', 'gajah', 'unta', 'tp', 'yg', 'menarik', 'pas', 'atraksi', 'lumba2']",senang kunjung safari beach batang kmrn pas pas bangun hewan mgkn lengkap tunjuk hewan2 jam2 gajah unta tp yg tarik pas atraksi lumba2,positif
5,Tempat masih harus dibenahi,tempat masih harus dibenahi,dibenahi,['dibenahi'],benah,positif
1,"Jelek, becek , g jls",jelek becek  g jls,jelek becek g jls,"['jelek', 'becek', 'g', 'jls']",jelek becek g jls,negatif
2,"Rincian tiket Masuk wekkend
#Tiket masuk pantai sigandu (5rb/orang) karena lewat jalur dekat pintu tol/alun alun. …",rincian tiket masuk wekkendtiket masuk pantai sigandu 5rborang karena lewat jalur dekat pintu tolalun alun ,rincian tiket masuk wekkendtiket masuk pantai sigandu 5rborang jalur pintu tolalun alun,"['rincian', 'tiket', 'masuk', 'wekkendtiket', 'masuk', 'pantai', 'sigandu', '5rborang', 'jalur', 'pintu', 'tolalun', 'alun']",rincian tiket masuk wekkendtiket masuk pantai sigandu 5rborang jalur pintu tolalun alun,negatif
4,"Nonton lumba"",gajah atraksi... menghibur anak"". Sebagian masih dalam proses pembangunan semoga segera lebih rapi dan tambah satwanya",nonton lumbagajah atraksi menghibur anak sebagian masih dalam proses pembangunan semoga segera lebih rapi dan tambah satwanya,nonton lumbagajah atraksi menghibur anak proses pembangunan semoga rapi satwanya,"['nonton', 'lumbagajah', 'atraksi', 'menghibur', 'anak', 'proses', 'pembangunan', 'semoga', 'rapi', 'satwanya']",nonton lumbagajah atraksi hibur anak proses bangun moga rapi satwa,positif
4,Sebetulnya sudah bagus tolong tempat kandang dan aquarium hewan2nya lebih dirawat,sebetulnya sudah bagus tolong tempat kandang dan aquarium hewan2nya lebih dirawat,bagus tolong kandang aquarium hewan2nya dirawat,"['bagus', 'tolong', 'kandang', 'aquarium', 'hewan2nya', 'dirawat']",bagus tolong kandang aquarium hewan2nya rawat,positif
1,"Sangat tidak kids & stroller friendly. Masih banyak area yg under construction. Cuma ambil pesanan siomay & dimsum, antri 20 menit. Anak saya korban kesandung krn jalannya paving block sdh banyak yg tidak rata dan pipi kena pipa tempat …",sangat tidak kids  stroller friendly masih banyak area yg under construction cuma ambil pesanan siomay  dimsum antri 20 menit anak saya korban kesandung krn jalannya paving block sdh banyak yg tidak rata dan pipi kena pipa tempat ,kids stroller friendly area yg under construction ambil pesanan siomay dimsum antri 20 menit anak korban kesandung krn jalannya paving block sdh yg pipi kena pipa,"['kids', 'stroller', 'friendly', 'area', 'yg', 'under', 'construction', 'ambil', 'pesanan', 'siomay', 'dimsum', 'antri', '20', 'menit', 'anak', 'korban', 'kesandung', 'krn', 'jalannya', 'paving', 'block', 'sdh', 'yg', 'pipi', 'kena', 'pipa']",kids stroller friendly area yg under construction ambil pesan siomay dimsum antri 20 menit anak korban kesandung krn jalan paving block sdh yg pipi kena pipa,negatif
5,"Kebersihan dan estetika nya bisa ditingkatkan..
Enak ajak anak disini tempat ga terlalu luas jadi substansial ke tujuan hewan² ga capek jalan …",kebersihan dan estetika nya bisa ditingkatkanenak ajak anak disini tempat ga terlalu luas jadi substansial ke tujuan hewan ga capek jalan ,kebersihan estetika nya ditingkatkanenak ajak anak ga luas substansial tujuan hewan ga capek jalan,"['kebersihan', 'estetika', 'nya', 'ditingkatkanenak', 'ajak', 'anak', 'ga', 'luas', 'substansial', 'tujuan', 'hewan', 'ga', 'capek', 'jalan']",bersih estetika nya ditingkatkanenak ajak anak ga luas substansial tuju hewan ga capek jalan,positif
5,"Lumayan buat nambah ongtahuan anak2 , krna blom sempat ke bogor jdi bisa main ke batang aja yg deket dari cirebon. Semoga makin luas dan brkmbang lagi tmpatnya 😻. Semua staffnya ramah2 bngt. …",lumayan buat nambah ongtahuan anak2  krna blom sempat ke bogor jdi bisa main ke batang aja yg deket dari cirebon semoga makin luas dan brkmbang lagi tmpatnya  semua staffnya ramah2 bngt ,lumayan nambah ongtahuan anak2 krna blom bogor jdi main batang aja yg deket cirebon semoga luas brkmbang tmpatnya staffnya ramah2 bngt,"['lumayan', 'nambah', 'ongtahuan', 'anak2', 'krna', 'blom', 'bogor', 'jdi', 'main', 'batang', 'aja', 'yg', 'deket', 'cirebon', 'semoga', 'luas', 'brkmbang', 'tmpatnya', 'staffnya', 'ramah2', 'bngt']",lumayan nambah ongtahuan anak2 krna blom bogor jdi main batang aja yg deket cirebon moga luas brkmbang tmpatnya staffnya ramah2 bngt,positif
5,Tempat Liburan yg indah,tempat liburan yg indah,liburan yg indah,"['liburan', 'yg', 'indah']",libur yg indah,positif
5,Istimewa karena lokasinya di  pantai dan ada dolphin! Koleksinya belum banyak tapi berhubung tiketnya juga lebih terjangkau daripada taman safari yang lain gpp deh ya. Cukup worth . Apalagi mulai 10.30 ada pertunjukan berantai. Anti bosan pokoknya. Ditunggu perluasannya yang sedang otw. Tar datang lagi InsyaAllah,istimewa karena lokasinya di  pantai dan ada dolphin koleksinya belum banyak tapi berhubung tiketnya juga lebih terjangkau daripada taman safari yang lain gpp deh ya cukup worth  apalagi mulai 1030 ada pertunjukan berantai anti bosan pokoknya ditunggu perluasannya yang sedang otw tar datang lagi insyaallah,istimewa lokasinya pantai dolphin koleksinya berhubung tiketnya terjangkau taman safari gpp deh ya worth 1030 pertunjukan berantai anti bosan pokoknya ditunggu perluasannya otw tar insyaallah,"['istimewa', 'lokasinya', 'pantai', 'dolphin', 'koleksinya', 'berhubung', 'tiketnya', 'terjangkau', 'taman', 'safari', 'gpp', 'deh', 'ya', 'worth', '1030', 'pertunjukan', 'berantai', 'anti', 'bosan', 'pokoknya', 'ditunggu', 'perluasannya', 'otw', 'tar', 'insyaallah']",istimewa lokasi pantai dolphin koleksi hubung tiket jangkau taman safari gpp deh ya worth 1030 tunjuk beranta anti bosan pokok tunggu luas otw tar insyaallah,positif
