Name,content,score
Ruli CH,"Terima kasih RSUD Kajen yang telah mengangkat ambeien yg ku derita bertehun-tahun. Dengan sangat aman. Kepada Pak Dony, sungguh engkau “life saver” terbaikku, panjang umur dan senantiasa diberkahi kebahagiaan yang melimpah di kehidupan manapun. Diriku tanggal operasi 22 januari 2025.",5
Ika Mukaromah,Pelayanan kurang ramah,2
Aqila Roati,"Alhamdulillah dn terimakasih IGD walupun ruangan penuh ttp mengusahakan buat pasien,,,sukses selalu",5
Samx Qoutes,"Pelayanan untuk pasien BPJS tolong diperbaiki lagi pasien BPJS juga orang sakit,",1
kknnewung Asik,"RSUD di sini ko dari dulu sampai sekarang ga ada perubahan. Pelayanan buruk, apalagi ke orang tua kasian sampai di bentak gitu sama cs nya. Terus salah diagnosa lagi :/, orang masuk IGD ga di temui dokternya samsek ? Yang bener aja sampe …",1
sri rahayu,"Terimakasih RSUD kajen, pelayanannya bagus, cepat dan perawat IGD nya ramah - ramah, pertahankan ya smoga kedepanya semakin lebih baik lagi",5
Fay fairyboo,"untuk pelayanan 5/10, kurang komunikatif dan kurang sopan🙏 untung jajan depan rs enak""😔✌️ infus habis saat minta tolong untuk diganti, beberapa dokter dan perawat terlihat memutar mata malas padahal itu sudah job desk mereka🙏 semoga bisa dievaluasi untuk hal pelayanan. terimakasih. …",2
Titin Sundari,No review text,5
Devi Safitri.R,"sebulan yg lalu saya dirawat di ruang Alamanda di RSUD Kajen. alhamdulillah pelayanannya cepat dan tepat. ruang rawat inapnya jg nyaman, bersih, dan rapih. perawatnya juga ramah dan baik-baik 👍🏻 …",5
Zulfa Maghfiroh,Untuk pelayanan baik,5
Nurul Ulfa,"Perawatan di ruang matahari memuaskan, tetapi untuk ruangan bisa ditambah pendingin. Terima kasih",5
Zyxn,Pelayanan baik dan memuaskan alhamdulillah,5
Harningsih Har,Membantu dan baik,5
Dika Maulana,"Pelayanan memuaskan, rumah sakit bersih da bagus",5
Sidul 123,Melahirkan di RSUD Kajen Alhamdulillah mendapatkan pelayanan yang baik serta memuaskan,5
sekar pratiwi,Selama melakukan pengobatan di RSUD kajen pelayanan dan fasilitas yang diberikan cukup memuaskan,5
Rateni Btg,Terimakasih alamanda atas perawatanhya,5
Lia Andriana,No review text,5
Andi Samsudin,Terima kasihrsud kajen ibuku di rawat dialamanda.... Perawat nya joss .... Ruanganya nyaman,5
Tazkia Luthfiana,"Rumah sakitnya bersih, disiplin juga.
First impressions buat magang disini bagus dan kelihatannya nyaman",5
Azzahra Naini Safitri,"tempatnya nyaman dan asri, perawatnya dan pekerja disini sangat ramah",5
Divanda Francisca,"Kesan pertama masuk ke RSUD Kajen sangat baik. Tenaga kesehatan sangat ramah, pelayanan yang diberikan sangat baik.",5
Bintang Pratama,No review text,5
Nurul Eka Fitriyani,"Pelayanan baik, ramah, gedung bersih dan nyaman",5
Aga Hasna’a Ghinna Santi,Kesan pertama di rsud kajen orientasinya berjalan sangat baik dan berjalan dengan lancar,5
Nandhita Angelicha,"pelayanan baik, ramah, gedung bersih dan nyaman",5
yaesa nuria,pelayanannya sangat ramah,5
Tiara Egi P,"Rumah sakitnya bagus sangat rekomen untuk berobat di rsud kajen, perawat ramah dan cantik2 dan untuk pelayanannya sangat memuaskan😍👍🏼 …",5
Ayu Cahyanita,"Rumah sakitnya bagus, sangat rekomen perawatnya ramah pelayanan sangat memuaskan",5
Hafizh Kurniawan,No review text,5
Zalfa Hariska Putri,"rumah sakitnya bagus, enak nyaman, perawatnya ramah ramah, saya sebagai mahasiswa betah praktik disini karna pelayanannya yang sangat memuaskan",5
vanessa putri,Pelayanannya sangat memuaskan,5
Shamia Shidqi Arifin,"rumah sakitnya bagus, perawatnya ramah",5
Dwi Indah m,No review text,5
Rahmatika Litausi'il Arshaq,No review text,5
Putri Nitya,No review text,5
Rizatul Safitri,No review text,5
ninda pramesti,No review text,5
Devi nikmah,No review text,5
Nindi Ra,"Berobat jalan di rsud kajen sejauh ini sangat baik dan membantu sekali, terima kasih",5
Nur Hayati96,Memuaskan sekali ramah ramah dan satse,5
Alfina Sabilah Salsa,Pelayanan sangat memuaskan 👍👍👍 …,5
Fifi Alvionita,"Ini bintang 1 jg kebagusan si. Kl bs gk usah ad bintang. Sy ad alesan knp rs ini gak worth!!
1. Sy prnah kecelakaan yg menyebabkan luka sobek dibagian kaki, dithn 2020. Trs …",1
rikaO,No review text,5
Sumiti Kutorejo,Alhamdulillah mendapatkan pelayanan yang baik sekali,5
0056_Salika Sabilla F.,"Perawatan dan pelayanan memuaskan, pegawai ramah2",5
Fatkhul korib,"Memuaskan, semoga tetap dipertahankan agar lebih baik lagi",5
Maya Ariyanti,Pelayanan serta fasilitas yang diberikan sangat baik dan nyaman,5
Stnyda 0404,"Pelayanan di RSUD Kajen memuaskan sekali. Mulai dari administrasi, perawat dan dokter sangat ramah dan membantu. Terima kasih",5
